marca;tier;segmento;pais_origen;precio_min;precio_max;notas
Armani Exchange;gama_media;moda_premium;Italia;120;240;(estimación) Marca premium derivada de Armani gafas de moda [1]
Arnette;gama_media;moda_casual;Estados Unidos;60;140;(estimación) Marca joven y casual precio medio [1]
Balenciaga;lujo;moda_lujo;Francia/España (marca matriz);230;500;Alta gama diseño de lujo precios altos [1]
Barbie;licencia_infantil;infantil_licencia;Estados Unidos;40;120;Clasificación infantil licencia precio medio-bajo [1]
Blackfin;gama_media;moda_premium;Italia;150;300;Marca italiana posicionamiento medio-alto [1]
Bogner;gama_media;moda_premium;Alemania;180;320;Marca deportiva moda precio medio-alto [1]
Bottega Veneta;lujo;moda_lujo;Italia;290;520;Marca de lujo con fuerte enfoque en artesanía [1]
Burberry;lujo;moda_lujo;Reino Unido;210;450;Marca británica de lujo gafas de alta gama [1]
Carolina Herrera;premium;moda_premium;Estados Unidos / España;150;320;Marca de lujo accesible dentro de premium [1]
Carrera;gama_media;deportiva;Italia;90;180;Enfoque deportivo precio medio [1]
Centrostyle S.p.A;gama_media;marca_blanca_OEM;Italia;50;120;Central a OEM marketing clasificación estimada [1]
Chloé;premium;moda_premium;Francia;170;340;Marca femenina de lujo precios medios-altos [1]
David Beckham;gama_media;moda_casual;Reino Unido;80;180;Colaboración de marca estilo casual premium [1]
Davidoff;premium;moda_premium;Suiza;120;260;Marca de lujo gafas con estilo clásico [1]
Disney;licencia_infantil;infantil_licencia;Estados Unidos;40;120;Licencia infantil precios bajos a medios [1]
Dolce & Gabbana;lujo;moda_lujo;Italia;260;520;Lujo italiano precios elevados [1]
Dsquared2;premium;moda_premium;Italia;180;330;Marca de lujo concepto moda precio alto [1]
Elie Saab;lujo;moda_lujo;Líbano/Francia;200;360;Alta costura gafas de lujo [1]
Emporio Armani;premium;moda_premium;Italia;120;260;Marca premium de Armani precio medio-alto [1]
Esprit;gama_media;moda_casual;Alemania;70;150;Marca casual-accessible precio moderado [1]
Etro;premium;moda_premium;Italia;190;360;Lujo bohemio precio medio-alto [1]
Germano Gambini;gama_media;marca_blanca_OEM;Italia;60;140;OEM marca de nicho clasificación estimada [1]
Giorgio Armani;lujo;moda_lujo;Italia;180;420;Marca de lujo clásica precios altos [1]
Gucci;lujo;moda_lujo;Italia;260;520;Lujo icónico precios elevados [1]
Guess;premium;moda_premium;Estados Unidos;100;210;Marca de moda rango medio-alto [1]
Harley Davidson;premium;moda_casual;Estados Unidos;110;230;Estilo biker precio medio-alto [1]
Harry Potter;licencia_infantil;infantil_licencia;Reino Unido / EE. UU.;40;100;Licencia infantil precios bajos a medios [1]
Hugo;premium;moda_premium;Alemania;120;260;Marca alemana de moda precio medio-alto [1]
Hugo Boss;premium;moda_premium;Alemania;140;300;Marca premium gafas de diseño clásico [1]
